text_id,original_text,token,pos,dep,head
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,#,SYM,punct,update
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,binancecoin,NOUN,compound,price
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,price,NOUN,compound,update
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,update,NOUN,nsubj,bitcoin
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,bnb,NOUN,nmod,bnb
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,#,SYM,nmod,bnb
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,bnb,PROPN,appos,update
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,303,NUM,compound,59
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,59,NUM,nummod,usd
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,usd,NOUN,appos,bnb
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,#,SYM,dep,update
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,bitcoin,VERB,nmod,follow
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,0,NUM,nummod,bitcoin
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,01279,NUM,nummod,ethereum
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,btc,NOUN,compound,#
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,#,SYM,nmod,ethereum
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,ethereum,NOUN,advmod,bitcoin
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,0,NUM,nummod,bitcoin
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,18295,NUM,npadvmod,0
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,eth,NOUN,prep,bitcoin
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,#,SYM,prep,eth
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,altcoin,NOUN,conj,bitcoin
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,#,SYM,nmod,crypto
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,crypto,NOUN,dobj,altcoin
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,#,ADP,nmod,follow
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,cryptocurrency,NOUN,compound,follow
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,follow,NOUN,ROOT,follow
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,for,ADP,prep,follow
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,recent,ADJ,amod,updates
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,bnb,NOUN,compound,price
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,price,NOUN,compound,updates
2,#binancecoin price update bnb #bnb 303 59 usd #bitcoin 0 01279 btc #ethereum 0 18295 eth #altcoin #crypto #cryptocurrency follow for recent bnb price updates,updates,NOUN,pobj,for
